"","Var1","Var2","Var3","Var4","id","reg"
"1","A","P","S","W",1,"APSW"
"2","A","P","W","S",7,"APWS"
"3","A","S","P","W",3,"ASPW"
"4","A","S","W","P",13,"ASWP"
"5","A","W","P","S",9,"AWPS"
"6","A","W","S","P",15,"AWSP"
"7","P","A","S","W",2,"PASW"
"8","P","A","W","S",8,"PAWS"
"9","P","S","A","W",5,"PSAW"
"10","P","S","W","A",19,"PSWA"
"11","P","W","A","S",11,"PWAS"
"12","P","W","S","A",21,"PWSA"
"13","S","A","P","W",4,"SAPW"
"14","S","A","W","P",14,"SAWP"
"15","S","P","A","W",6,"SPAW"
"16","S","P","W","A",20,"SPWA"
"17","S","W","A","P",17,"SWAP"
"18","S","W","P","A",23,"SWPA"
"19","W","A","P","S",10,"WAPS"
"20","W","A","S","P",16,"WASP"
"21","W","P","A","S",12,"WPAS"
"22","W","P","S","A",22,"WPSA"
"23","W","S","A","P",18,"WSAP"
"24","W","S","P","A",24,"WSPA"
